"Id","WeightDays","SleepDays","ActivityDays"
1503960366,2,25,31
1624580081,0,0,31
1644430081,0,4,30
1844505072,0,3,31
1927972279,1,5,31
2022484408,0,0,31
2026352035,0,28,31
2320127002,0,1,31
2347167796,0,15,18
2873212765,2,0,31
3372868164,0,0,20
3977333714,0,28,30
4020332650,0,8,31
4057192912,0,0,4
4319703577,2,26,31
4388161847,0,24,31
4445114986,0,28,31
4558609924,5,5,31
4702921684,0,28,31
5553957443,0,31,31
5577150313,1,26,30
6117666160,0,18,28
6290855005,0,0,29
6775888955,0,3,26
6962181067,30,31,31
7007744171,0,2,26
7086361926,0,24,31
8053475328,0,3,31
8253242879,0,0,19
8378563200,0,32,31
8583815059,0,0,31
8792009665,0,15,29
8877689391,24,0,31
